dueDateTime,orderId,customer_id,orderPlacementDate,status,assignee,quantity,item_name,unit_price,days_until_due
03-07-2023,A29336505-15357af5-0273-465c-81d2-65777835407e,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,26,Multifunction Printer,110,32
19-07-2023,A29336505-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,32,Office Desk,40,48
09-07-2023,A29336505-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,34,Paper Clips,30,38
29-06-2023,A29336505-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,15,File Folders,70,28
26-07-2023,A29336505-42d95fcf-a611-4f97-ba88-20e651645b96,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,56,Office Chair,50,55
02-07-2023,A73058303-15357af5-0273-465c-81d2-65777835407e,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,37,Multifunction Printer,110,31
02-06-2023,A73058303-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,41,Printer,80,1
10-07-2023,A73058303-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,51,Stapler,60,39
23-07-2023,A73058303-42d95fcf-a611-4f97-ba88-20e651645b96,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,35,Office Chair,50,52
03-06-2023,A73058303-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,16,Office Desk,40,2
24-06-2023,A73058303-fd748d48-699d-4032-848a-e5a710e638df,A56613925,2023-05-29T16:15:47.092Z,assigned,Alfredo Bins,53,Paper Shredder,100,23
24-06-2023,A4120267-15357af5-0273-465c-81d2-65777835407e,A56613925,2023-05-17T15:27:22.722Z,assigned,John Dooley,40,Multifunction Printer,110,23
15-06-2023,A4120267-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56613925,2023-05-17T15:27:22.722Z,assigned,John Dooley,55,"30"" Monitor",90,14
18-06-2023,A4120267-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56613925,2023-05-17T15:27:22.722Z,assigned,John Dooley,54,Paper Clips,30,17
04-07-2023,A85258431-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A2961593,2023-05-08T20:07:26.309Z,assigned,Taylor Hilll,12,A4 Paper,20,33
22-07-2023,A85258431-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A2961593,2023-05-08T20:07:26.309Z,assigned,Taylor Hilll,23,Printer,80,51
28-06-2023,A85258431-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A2961593,2023-05-08T20:07:26.309Z,assigned,Taylor Hilll,25,Stapler,60,27
09-06-2023,A85258431-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2961593,2023-05-08T20:07:26.309Z,assigned,Taylor Hilll,17,File Folders,70,8
19-07-2023,A58653993-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2961593,2023-06-01T09:23:11.294Z,assigned,Laverne Koss,50,File Folders,70,48
04-07-2023,A4583071-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,6,Office Desk,40,33
09-06-2023,A4583071-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,52,"30"" Monitor",90,8
01-06-2023,A4583071-42d95fcf-a611-4f97-ba88-20e651645b96,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,52,Office Chair,50,0
20-06-2023,A4583071-fd748d48-699d-4032-848a-e5a710e638df,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,45,Paper Shredder,100,19
26-06-2023,A4583071-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,44,A4 Paper,20,25
18-06-2023,A4583071-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A2961593,2023-06-16T01:17:56.525Z,assigned,Lorraine Bahringer,22,Paper Clips,30,17
27-06-2023,A88241458-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,60,Paper Clips,30,26
18-07-2023,A88241458-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,14,"30"" Monitor",90,47
11-06-2023,A88241458-fd748d48-699d-4032-848a-e5a710e638df,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,12,Paper Shredder,100,10
03-06-2023,A88241458-15357af5-0273-465c-81d2-65777835407e,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,40,Multifunction Printer,110,2
11-06-2023,A88241458-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,30,File Folders,70,10
09-06-2023,A88241458-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,26,Office Desk,40,8
06-07-2023,A88241458-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A2890159,2023-05-19T23:56:25.235Z,assigned,Latoya Gulgowski,33,Printer,80,35
30-06-2023,A16927798-42d95fcf-a611-4f97-ba88-20e651645b96,A2890159,2023-06-23T08:32:42.655Z,open,,23,Office Chair,50,29
17-07-2023,A16927798-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2890159,2023-06-23T08:32:42.655Z,open,,17,"30"" Monitor",90,46
22-07-2023,A16927798-fd748d48-699d-4032-848a-e5a710e638df,A2890159,2023-06-23T08:32:42.655Z,open,,19,Paper Shredder,100,51
09-06-2023,A68972858-15357af5-0273-465c-81d2-65777835407e,A2890159,2023-06-11T08:02:39.657Z,assigned,Erick Quigley,55,Multifunction Printer,110,8
19-07-2023,A68972858-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2890159,2023-06-11T08:02:39.657Z,assigned,Erick Quigley,57,Office Desk,40,48
17-06-2023,A40736300-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A2890159,2023-05-27T04:29:50.706Z,open,,6,Stapler,60,16
21-07-2023,A40736300-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2890159,2023-05-27T04:29:50.706Z,open,,7,File Folders,70,50
23-07-2023,A40736300-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A2890159,2023-05-27T04:29:50.706Z,open,,23,Paper Clips,30,52
01-06-2023,A40736300-fd748d48-699d-4032-848a-e5a710e638df,A2890159,2023-05-27T04:29:50.706Z,open,,16,Paper Shredder,100,0
03-07-2023,A40736300-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2890159,2023-05-27T04:29:50.706Z,open,,46,"30"" Monitor",90,32
23-06-2023,A40736300-15357af5-0273-465c-81d2-65777835407e,A2890159,2023-05-27T04:29:50.706Z,open,,50,Multifunction Printer,110,22
03-07-2023,A40736300-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A2890159,2023-05-27T04:29:50.706Z,open,,11,A4 Paper,20,32
06-06-2023,A40736300-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A2890159,2023-05-27T04:29:50.706Z,open,,23,Printer,80,5
02-06-2023,A46118774-fd748d48-699d-4032-848a-e5a710e638df,A2890159,2023-05-05T21:52:04.510Z,open,,33,Paper Shredder,100,1
28-06-2023,A46118774-15357af5-0273-465c-81d2-65777835407e,A2890159,2023-05-05T21:52:04.510Z,open,,21,Multifunction Printer,110,27
27-07-2023,A46118774-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2890159,2023-05-05T21:52:04.510Z,open,,11,Office Desk,40,56
17-06-2023,A46118774-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2890159,2023-05-05T21:52:04.510Z,open,,43,"30"" Monitor",90,16
30-07-2023,A46118774-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2890159,2023-05-05T21:52:04.510Z,open,,60,File Folders,70,59
08-06-2023,A46118774-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A2890159,2023-05-05T21:52:04.510Z,open,,59,Stapler,60,7
04-06-2023,A46118774-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A2890159,2023-05-05T21:52:04.510Z,open,,24,A4 Paper,20,3
07-06-2023,A42673146-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A2890159,2023-06-10T20:00:06.697Z,open,,26,File Folders,70,6
18-06-2023,A42673146-fd748d48-699d-4032-848a-e5a710e638df,A2890159,2023-06-10T20:00:06.697Z,open,,59,Paper Shredder,100,17
30-06-2023,A42673146-15357af5-0273-465c-81d2-65777835407e,A2890159,2023-06-10T20:00:06.697Z,open,,32,Multifunction Printer,110,29
23-06-2023,A42673146-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A2890159,2023-06-10T20:00:06.697Z,open,,44,Stapler,60,22
30-07-2023,A42673146-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A2890159,2023-06-10T20:00:06.697Z,open,,13,Printer,80,59
16-07-2023,A42673146-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2890159,2023-06-10T20:00:06.697Z,open,,29,Office Desk,40,45
22-06-2023,A25209615-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A2890159,2023-05-21T06:31:00.897Z,assigned,John Dooley,42,Stapler,60,21
04-06-2023,A25209615-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A2890159,2023-05-21T06:31:00.897Z,assigned,John Dooley,41,Office Desk,40,3
20-06-2023,A25209615-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A2890159,2023-05-21T06:31:00.897Z,assigned,John Dooley,15,"30"" Monitor",90,19
09-06-2023,A62687791-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A413231,2023-05-15T22:29:49.124Z,assigned,Erick Quigley,22,"30"" Monitor",90,8
26-07-2023,A93654614-42d95fcf-a611-4f97-ba88-20e651645b96,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,58,Office Chair,50,55
17-06-2023,A93654614-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,59,Paper Clips,30,16
17-06-2023,A93654614-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,47,Office Desk,40,16
25-06-2023,A93654614-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,27,A4 Paper,20,24
18-07-2023,A93654614-fd748d48-699d-4032-848a-e5a710e638df,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,53,Paper Shredder,100,47
13-07-2023,A93654614-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,28,Stapler,60,42
24-07-2023,A93654614-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A413231,2023-05-21T00:00:55.259Z,assigned,Lela Kemmer,28,File Folders,70,53
19-07-2023,A51675902-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A413231,2023-05-08T12:46:55.790Z,assigned,Lorraine Bahringer,43,Printer,80,48
16-06-2023,A51675902-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A413231,2023-05-08T12:46:55.790Z,assigned,Lorraine Bahringer,41,Office Desk,40,15
03-06-2023,A51675902-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-05-08T12:46:55.790Z,assigned,Lorraine Bahringer,17,Stapler,60,2
16-07-2023,A84792661-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-06-26T12:05:46.932Z,assigned,Laverne Koss,56,Stapler,60,45
02-06-2023,A94648229-42d95fcf-a611-4f97-ba88-20e651645b96,A413231,2023-06-04T11:07:34.936Z,assigned,Taylor Hilll,17,Office Chair,50,1
03-07-2023,A94648229-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A413231,2023-06-04T11:07:34.936Z,assigned,Taylor Hilll,58,File Folders,70,32
16-06-2023,A94648229-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A413231,2023-06-04T11:07:34.936Z,assigned,Taylor Hilll,41,Paper Clips,30,15
16-07-2023,A94648229-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A413231,2023-06-04T11:07:34.936Z,assigned,Taylor Hilll,51,Printer,80,45
29-06-2023,A94648229-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-06-04T11:07:34.936Z,assigned,Taylor Hilll,16,Stapler,60,28
27-06-2023,A83048972-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A413231,2023-05-10T13:07:02.147Z,open,,41,Paper Clips,30,26
20-06-2023,A83048972-42d95fcf-a611-4f97-ba88-20e651645b96,A413231,2023-05-10T13:07:02.147Z,open,,19,Office Chair,50,19
16-06-2023,A83048972-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-05-10T13:07:02.147Z,open,,9,Stapler,60,15
24-06-2023,A83048972-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A413231,2023-05-10T13:07:02.147Z,open,,60,A4 Paper,20,23
03-06-2023,A83048972-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A413231,2023-05-10T13:07:02.147Z,open,,52,File Folders,70,2
26-07-2023,A83048972-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A413231,2023-05-10T13:07:02.147Z,open,,7,"30"" Monitor",90,55
30-07-2023,A34438579-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A413231,2023-06-02T04:58:32.101Z,assigned,Gail Weber,54,"30"" Monitor",90,59
15-06-2023,A34438579-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A413231,2023-06-02T04:58:32.101Z,assigned,Gail Weber,36,Paper Clips,30,14
15-07-2023,A34438579-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A413231,2023-06-02T04:58:32.101Z,assigned,Gail Weber,32,Printer,80,44
14-06-2023,A34438579-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A413231,2023-06-02T04:58:32.101Z,assigned,Gail Weber,8,File Folders,70,13
29-06-2023,A26238923-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A413231,2023-05-20T06:51:10.455Z,assigned,Laverne Koss,10,File Folders,70,28
07-07-2023,A26238923-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A413231,2023-05-20T06:51:10.455Z,assigned,Laverne Koss,36,Stapler,60,36
11-07-2023,A26238923-fd748d48-699d-4032-848a-e5a710e638df,A413231,2023-05-20T06:51:10.455Z,assigned,Laverne Koss,58,Paper Shredder,100,40
20-07-2023,A26238923-42d95fcf-a611-4f97-ba88-20e651645b96,A413231,2023-05-20T06:51:10.455Z,assigned,Laverne Koss,36,Office Chair,50,49
09-06-2023,A6334158-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A56615245,2023-04-27T21:56:13.369Z,assigned,Lorraine Bahringer,8,A4 Paper,20,8
18-06-2023,A46159102-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56615245,2023-04-20T04:53:25.144Z,closed,Erick Quigley,39,Printer,80,17
24-06-2023,A46159102-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56615245,2023-04-20T04:53:25.144Z,closed,Erick Quigley,34,Stapler,60,23
13-07-2023,A46159102-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56615245,2023-04-20T04:53:25.144Z,closed,Erick Quigley,48,"30"" Monitor",90,42
02-06-2023,A25010591-fd748d48-699d-4032-848a-e5a710e638df,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,57,Paper Shredder,100,1
28-06-2023,A25010591-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,58,Office Desk,40,27
01-06-2023,A25010591-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,18,Paper Clips,30,0
05-06-2023,A25010591-15357af5-0273-465c-81d2-65777835407e,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,31,Multifunction Printer,110,4
17-07-2023,A25010591-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,60,Printer,80,46
29-07-2023,A25010591-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56615245,2023-06-18T19:04:31.864Z,closed,Alfredo Bins,17,Stapler,60,58
08-07-2023,A23128501-15357af5-0273-465c-81d2-65777835407e,A56615245,2023-06-24T03:32:27.158Z,assigned,Erick Quigley,39,Multifunction Printer,110,37
20-06-2023,A23128501-42d95fcf-a611-4f97-ba88-20e651645b96,A56615245,2023-06-24T03:32:27.158Z,assigned,Erick Quigley,41,Office Chair,50,19
24-07-2023,A23128501-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56615245,2023-06-24T03:32:27.158Z,assigned,Erick Quigley,58,"30"" Monitor",90,53
07-06-2023,A23128501-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56615245,2023-06-24T03:32:27.158Z,assigned,Erick Quigley,47,Printer,80,6
23-07-2023,A23128501-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A56615245,2023-06-24T03:32:27.158Z,assigned,Erick Quigley,51,File Folders,70,52
09-07-2023,A35576541-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,23,A4 Paper,20,38
03-06-2023,A35576541-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,43,File Folders,70,2
05-07-2023,A35576541-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,33,Office Desk,40,34
24-06-2023,A35576541-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,48,Paper Clips,30,23
21-06-2023,A35576541-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,52,"30"" Monitor",90,20
27-07-2023,A35576541-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56615245,2023-06-29T01:19:23.580Z,assigned,Lela Kemmer,23,Stapler,60,56
18-07-2023,A61423593-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,49,Office Desk,40,47
04-07-2023,A61423593-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,17,"30"" Monitor",90,33
25-07-2023,A61423593-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,28,Stapler,60,54
27-07-2023,A61423593-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,54,Printer,80,56
30-07-2023,A61423593-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,39,Paper Clips,30,59
26-06-2023,A61423593-15357af5-0273-465c-81d2-65777835407e,A56615245,2023-04-30T23:38:40.869Z,closed,Lorraine Bahringer,32,Multifunction Printer,110,25
10-07-2023,A35291071-42d95fcf-a611-4f97-ba88-20e651645b96,A50578578,2023-06-09T03:24:28.854Z,open,,10,Office Chair,50,39
01-07-2023,A35291071-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A50578578,2023-06-09T03:24:28.854Z,open,,29,Office Desk,40,30
20-07-2023,A35291071-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A50578578,2023-06-09T03:24:28.854Z,open,,29,"30"" Monitor",90,49
11-07-2023,A35291071-fd748d48-699d-4032-848a-e5a710e638df,A50578578,2023-06-09T03:24:28.854Z,open,,21,Paper Shredder,100,40
05-06-2023,A35291071-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A50578578,2023-06-09T03:24:28.854Z,open,,39,File Folders,70,4
15-06-2023,A26252117-fd748d48-699d-4032-848a-e5a710e638df,A50578578,2023-06-23T17:15:09.754Z,assigned,Taylor Hilll,23,Paper Shredder,100,14
22-06-2023,A26252117-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A50578578,2023-06-23T17:15:09.754Z,assigned,Taylor Hilll,59,Printer,80,21
09-07-2023,A94188649-42d95fcf-a611-4f97-ba88-20e651645b96,A3792785,2023-05-28T18:24:14.805Z,assigned,Latoya Gulgowski,7,Office Chair,50,38
07-06-2023,A94188649-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A3792785,2023-05-28T18:24:14.805Z,assigned,Latoya Gulgowski,45,"30"" Monitor",90,6
13-06-2023,A94188649-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A3792785,2023-05-28T18:24:14.805Z,assigned,Latoya Gulgowski,41,Printer,80,12
10-06-2023,A94188649-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A3792785,2023-05-28T18:24:14.805Z,assigned,Latoya Gulgowski,35,File Folders,70,9
24-07-2023,A51790913-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A3792785,2023-06-06T17:43:11.464Z,closed,Erick Quigley,44,File Folders,70,53
13-07-2023,A51790913-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A3792785,2023-06-06T17:43:11.464Z,closed,Erick Quigley,14,Office Desk,40,42
24-07-2023,A51790913-15357af5-0273-465c-81d2-65777835407e,A3792785,2023-06-06T17:43:11.464Z,closed,Erick Quigley,12,Multifunction Printer,110,53
18-06-2023,A51790913-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A3792785,2023-06-06T17:43:11.464Z,closed,Erick Quigley,20,Printer,80,17
20-07-2023,A17520018-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A3792785,2023-05-24T21:09:21.226Z,closed,Lorraine Bahringer,14,Printer,80,49
01-06-2023,A70972602-fd748d48-699d-4032-848a-e5a710e638df,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,51,Paper Shredder,100,0
05-06-2023,A70972602-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,51,Printer,80,4
15-06-2023,A70972602-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,39,Paper Clips,30,14
16-07-2023,A70972602-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,29,File Folders,70,45
12-07-2023,A70972602-15357af5-0273-465c-81d2-65777835407e,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,27,Multifunction Printer,110,41
28-07-2023,A70972602-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A3792785,2023-06-22T11:26:36.316Z,assigned,Lorraine Bahringer,7,Stapler,60,57
15-06-2023,A24786385-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A3792785,2023-05-15T23:40:18.257Z,closed,Lorraine Bahringer,32,"30"" Monitor",90,14
04-07-2023,A24786385-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A3792785,2023-05-15T23:40:18.257Z,closed,Lorraine Bahringer,27,Paper Clips,30,33
14-07-2023,A24786385-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A3792785,2023-05-15T23:40:18.257Z,closed,Lorraine Bahringer,24,Stapler,60,43
26-07-2023,A86060343-fd748d48-699d-4032-848a-e5a710e638df,A55065458,2023-06-27T13:37:13.304Z,assigned,Latoya Gulgowski,49,Paper Shredder,100,55
18-06-2023,A86060343-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A55065458,2023-06-27T13:37:13.304Z,assigned,Latoya Gulgowski,53,File Folders,70,17
21-07-2023,A86060343-15357af5-0273-465c-81d2-65777835407e,A55065458,2023-06-27T13:37:13.304Z,assigned,Latoya Gulgowski,31,Multifunction Printer,110,50
10-06-2023,A86060343-42d95fcf-a611-4f97-ba88-20e651645b96,A55065458,2023-06-27T13:37:13.304Z,assigned,Latoya Gulgowski,26,Office Chair,50,9
21-07-2023,A86060343-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A55065458,2023-06-27T13:37:13.304Z,assigned,Latoya Gulgowski,36,Paper Clips,30,50
